Date,State,TotalSamples,Positive
17-07-2020,Andaman and Nicobar Islands,19421,194
18-07-2020,Andaman and Nicobar Islands,19671,198
19-07-2020,Andaman and Nicobar Islands,19904,203
20-07-2020,Andaman and Nicobar Islands,20301,207
21-07-2020,Andaman and Nicobar Islands,20642,212
22-07-2020,Andaman and Nicobar Islands,21043,221
23-07-2020,Andaman and Nicobar Islands,21310,240
24-07-2020,Andaman and Nicobar Islands,21743,259
25-07-2020,Andaman and Nicobar Islands,21965,290
26-07-2020,Andaman and Nicobar Islands,22049,324
27-07-2020,Andaman and Nicobar Islands,22548,338
28-07-2020,Andaman and Nicobar Islands,22925,363
29-07-2020,Andaman and Nicobar Islands,23217,428
30-07-2020,Andaman and Nicobar Islands,23615,471
31-07-2020,Andaman and Nicobar Islands,24038,548
01-08-2020,Andaman and Nicobar Islands,24308,636
02-08-2020,Andaman and Nicobar Islands,24580,734
03-08-2020,Andaman and Nicobar Islands,25034,830
04-08-2020,Andaman and Nicobar Islands,25492,928
05-08-2020,Andaman and Nicobar Islands,25826,1027
06-08-2020,Andaman and Nicobar Islands,26516,1123
07-08-2020,Andaman and Nicobar Islands,26915,1222
08-08-2020,Andaman and Nicobar Islands,27073,1351
09-08-2020,Andaman and Nicobar Islands,27103,1490
10-08-2020,Andaman and Nicobar Islands,27346,1625
11-08-2020,Andaman and Nicobar Islands,27455,1764
12-08-2020,Andaman and Nicobar Islands,27744,1900
13-08-2020,Andaman and Nicobar Islands,27973,2037
14-08-2020,Andaman and Nicobar Islands,28129,2186
15-08-2020,Andaman and Nicobar Islands,28209,2306
16-08-2020,Andaman and Nicobar Islands,28229,2399
17-08-2020,Andaman and Nicobar Islands,28672,2445
18-08-2020,Andaman and Nicobar Islands,28937,2529
19-08-2020,Andaman and Nicobar Islands,29303,2604
20-08-2020,Andaman and Nicobar Islands,29487,2680
21-08-2020,Andaman and Nicobar Islands,29573,2747
22-08-2020,Andaman and Nicobar Islands,29888,2808
23-08-2020,Andaman and Nicobar Islands,30278,2860
24-08-2020,Andaman and Nicobar Islands,30513,2904
25-08-2020,Andaman and Nicobar Islands,31082,2945
26-08-2020,Andaman and Nicobar Islands,31646,2985
27-08-2020,Andaman and Nicobar Islands,31830,3018
28-08-2020,Andaman and Nicobar Islands,32100,3050
29-08-2020,Andaman and Nicobar Islands,32407,3081
30-08-2020,Andaman and Nicobar Islands,32674,3104
31-08-2020,Andaman and Nicobar Islands,33485,3132
01-09-2020,Andaman and Nicobar Islands,35104,3160
02-09-2020,Andaman and Nicobar Islands,36136,3200
03-09-2020,Andaman and Nicobar Islands,37075,3223
04-09-2020,Andaman and Nicobar Islands,37825,3257
05-09-2020,Andaman and Nicobar Islands,38574,3292
06-09-2020,Andaman and Nicobar Islands,39205,3332
07-09-2020,Andaman and Nicobar Islands,39995,3359
08-09-2020,Andaman and Nicobar Islands,41039,3392
09-09-2020,Andaman and Nicobar Islands,41776,3426
10-09-2020,Andaman and Nicobar Islands,42792,3465
11-09-2020,Andaman and Nicobar Islands,43680,3494
12-09-2020,Andaman and Nicobar Islands,44570,3521
13-09-2020,Andaman and Nicobar Islands,45279,3546
14-09-2020,Andaman and Nicobar Islands,45987,3557
15-09-2020,Andaman and Nicobar Islands,46823,3574
16-09-2020,Andaman and Nicobar Islands,47794,3593
17-09-2020,Andaman and Nicobar Islands,48861,3604
18-09-2020,Andaman and Nicobar Islands,50035,3631
19-09-2020,Andaman and Nicobar Islands,50681,3644
20-09-2020,Andaman and Nicobar Islands,51262,3651
21-09-2020,Andaman and Nicobar Islands,52220,3673
22-09-2020,Andaman and Nicobar Islands,52845,3691
23-09-2020,Andaman and Nicobar Islands,53591,3712
24-09-2020,Andaman and Nicobar Islands,52992,3744
25-09-2020,Andaman and Nicobar Islands,55169,3759
26-09-2020,Andaman and Nicobar Islands,56059,3774
27-09-2020,Andaman and Nicobar Islands,56661,3794
28-09-2020,Andaman and Nicobar Islands,57343,3803
29-09-2020,Andaman and Nicobar Islands,58135,3821
30-09-2020,Andaman and Nicobar Islands,58763,3835
01-10-2020,Andaman and Nicobar Islands,59676,3848
02-10-2020,Andaman and Nicobar Islands,60437,3858
03-10-2020,Andaman and Nicobar Islands,61231,3868
04-10-2020,Andaman and Nicobar Islands,62103,3884
05-10-2020,Andaman and Nicobar Islands,63009,3899
06-10-2020,Andaman and Nicobar Islands,63790,3912
07-10-2020,Andaman and Nicobar Islands,65111,3935
08-10-2020,Andaman and Nicobar Islands,66244,3952
09-10-2020,Andaman and Nicobar Islands,67332,3976
10-10-2020,Andaman and Nicobar Islands,68464,3992
11-10-2020,Andaman and Nicobar Islands,69146,4005
12-10-2020,Andaman and Nicobar Islands,69932,4023
13-10-2020,Andaman and Nicobar Islands,70780,4036
14-10-2020,Andaman and Nicobar Islands,71624,4046
15-10-2020,Andaman and Nicobar Islands,72525,4062
16-10-2020,Andaman and Nicobar Islands,73363,4072
17-10-2020,Andaman and Nicobar Islands,74277,4083
18-10-2020,Andaman and Nicobar Islands,75030,4108
19-10-2020,Andaman and Nicobar Islands,75977,4126
20-10-2020,Andaman and Nicobar Islands,77200,4141
21-10-2020,Andaman and Nicobar Islands,78303,4168
22-10-2020,Andaman and Nicobar Islands,79301,4184
23-10-2020,Andaman and Nicobar Islands,80768,4207
24-10-2020,Andaman and Nicobar Islands,81880,4225
25-10-2020,Andaman and Nicobar Islands,82626,4245
26-10-2020,Andaman and Nicobar Islands,83115,4253
27-10-2020,Andaman and Nicobar Islands,84308,4274
28-10-2020,Andaman and Nicobar Islands,85378,4289
29-10-2020,Andaman and Nicobar Islands,86715,4305
30-10-2020,Andaman and Nicobar Islands,87789,4317
31-10-2020,Andaman and Nicobar Islands,88453,4332
01-11-2020,Andaman and Nicobar Islands,89559,4340
02-11-2020,Andaman and Nicobar Islands,90901,4352
03-11-2020,Andaman and Nicobar Islands,92249,4372
04-11-2020,Andaman and Nicobar Islands,93406,4389
05-11-2020,Andaman and Nicobar Islands,94639,4403
06-11-2020,Andaman and Nicobar Islands,96214,4420
07-11-2020,Andaman and Nicobar Islands,97603,4441
08-11-2020,Andaman and Nicobar Islands,98812,4450
09-11-2020,Andaman and Nicobar Islands,100025,4463
10-11-2020,Andaman and Nicobar Islands,101226,4477
11-11-2020,Andaman and Nicobar Islands,102433,4494
12-11-2020,Andaman and Nicobar Islands,103599,4507
13-11-2020,Andaman and Nicobar Islands,104785,4518
14-11-2020,Andaman and Nicobar Islands,105699,4527
15-11-2020,Andaman and Nicobar Islands,106734,4536
16-11-2020,Andaman and Nicobar Islands,108080,4557
17-11-2020,Andaman and Nicobar Islands,109646,4574
18-11-2020,Andaman and Nicobar Islands,111166,4593
19-11-2020,Andaman and Nicobar Islands,112792,4604
20-11-2020,Andaman and Nicobar Islands,114392,4617
21-11-2020,Andaman and Nicobar Islands,115968,4631
22-11-2020,Andaman and Nicobar Islands,117093,4641
23-11-2020,Andaman and Nicobar Islands,118654,4656
24-11-2020,Andaman and Nicobar Islands,120324,4667
25-11-2020,Andaman and Nicobar Islands,121931,4677
26-11-2020,Andaman and Nicobar Islands,123165,4682
27-11-2020,Andaman and Nicobar Islands,124832,4689
28-11-2020,Andaman and Nicobar Islands,126331,4698
29-11-2020,Andaman and Nicobar Islands,127912,4704
30-11-2020,Andaman and Nicobar Islands,129389,4710
01-12-2020,Andaman and Nicobar Islands,131080,4718
02-12-2020,Andaman and Nicobar Islands,132784,4723
03-12-2020,Andaman and Nicobar Islands,134355,4729
04-12-2020,Andaman and Nicobar Islands,135952,4742
05-12-2020,Andaman and Nicobar Islands,137648,4747
06-12-2020,Andaman and Nicobar Islands,139326,4758
07-12-2020,Andaman and Nicobar Islands,140961,4773
08-12-2020,Andaman and Nicobar Islands,142667,4778
09-12-2020,Andaman and Nicobar Islands,144401,4783
10-12-2020,Andaman and Nicobar Islands,146143,4791
11-12-2020,Andaman and Nicobar Islands,147806,4798
12-12-2020,Andaman and Nicobar Islands,149926,4805
13-12-2020,Andaman and Nicobar Islands,152004,4818
14-12-2020,Andaman and Nicobar Islands,153685,4834
15-12-2020,Andaman and Nicobar Islands,155454,4842
16-12-2020,Andaman and Nicobar Islands,157242,4850
17-12-2020,Andaman and Nicobar Islands,159027,4860
18-12-2020,Andaman and Nicobar Islands,160856,4869
19-12-2020,Andaman and Nicobar Islands,162821,4875
20-12-2020,Andaman and Nicobar Islands,165024,4881
21-12-2020,Andaman and Nicobar Islands,166845,4888
22-12-2020,Andaman and Nicobar Islands,168769,4893
23-12-2020,Andaman and Nicobar Islands,170666,4896
24-12-2020,Andaman and Nicobar Islands,172756,4901
25-12-2020,Andaman and Nicobar Islands,174482,4912
26-12-2020,Andaman and Nicobar Islands,175578,4912
27-12-2020,Andaman and Nicobar Islands,176898,4924
28-12-2020,Andaman and Nicobar Islands,177926,4929
29-12-2020,Andaman and Nicobar Islands,179444,4936
30-12-2020,Andaman and Nicobar Islands,180626,4941
31-12-2020,Andaman and Nicobar Islands,181640,4945
01-01-2021,Andaman and Nicobar Islands,182631,4946
02-01-2021,Andaman and Nicobar Islands,183725,4947
03-01-2021,Andaman and Nicobar Islands,184955,4948
04-01-2021,Andaman and Nicobar Islands,186140,4948
05-01-2021,Andaman and Nicobar Islands,187115,4949
06-01-2021,Andaman and Nicobar Islands,188351,4949
07-01-2021,Andaman and Nicobar Islands,190031,4958
08-01-2021,Andaman and Nicobar Islands,191206,4959
09-01-2021,Andaman and Nicobar Islands,192560,4959
10-01-2021,Andaman and Nicobar Islands,193719,4960
11-01-2021,Andaman and Nicobar Islands,195351,4963
12-01-2021,Andaman and Nicobar Islands,196859,4966
13-01-2021,Andaman and Nicobar Islands,198478,4969
14-01-2021,Andaman and Nicobar Islands,199805,4976
15-01-2021,Andaman and Nicobar Islands,200953,4979
16-01-2021,Andaman and Nicobar Islands,202521,4982
17-01-2021,Andaman and Nicobar Islands,203741,4983
18-01-2021,Andaman and Nicobar Islands,205411,4988
19-01-2021,Andaman and Nicobar Islands,206732,4989
20-01-2021,Andaman and Nicobar Islands,208179,4991
21-01-2021,Andaman and Nicobar Islands,209437,4991
22-01-2021,Andaman and Nicobar Islands,210762,4992
23-01-2021,Andaman and Nicobar Islands,212393,4993
24-01-2021,Andaman and Nicobar Islands,213467,4993
25-01-2021,Andaman and Nicobar Islands,214915,4994
26-01-2021,Andaman and Nicobar Islands,215858,4994
27-01-2021,Andaman and Nicobar Islands,217007,4994
28-01-2021,Andaman and Nicobar Islands,218629,4994
29-01-2021,Andaman and Nicobar Islands,220484,4994
30-01-2021,Andaman and Nicobar Islands,221876,4994
31-01-2021,Andaman and Nicobar Islands,223137,4994
01-02-2021,Andaman and Nicobar Islands,224852,4994
02-02-2021,Andaman and Nicobar Islands,226584,4994
03-02-2021,Andaman and Nicobar Islands,228290,4994
04-02-2021,Andaman and Nicobar Islands,230133,4994
05-02-2021,Andaman and Nicobar Islands,231633,4997
06-02-2021,Andaman and Nicobar Islands,233597,5000
07-02-2021,Andaman and Nicobar Islands,235072,5001
08-02-2021,Andaman and Nicobar Islands,236643,5005
09-02-2021,Andaman and Nicobar Islands,238339,5007
10-02-2021,Andaman and Nicobar Islands,240362,5007
11-02-2021,Andaman and Nicobar Islands,241833,5007
12-02-2021,Andaman and Nicobar Islands,243631,5007
13-02-2021,Andaman and Nicobar Islands,245745,5009
14-02-2021,Andaman and Nicobar Islands,247289,5009
15-02-2021,Andaman and Nicobar Islands,248562,5009
16-02-2021,Andaman and Nicobar Islands,250037,5013
17-02-2021,Andaman and Nicobar Islands,251774,5014
18-02-2021,Andaman and Nicobar Islands,253718,5014
19-02-2021,Andaman and Nicobar Islands,255675,5014
20-02-2021,Andaman and Nicobar Islands,257213,5014
21-02-2021,Andaman and Nicobar Islands,258773,5014
22-02-2021,Andaman and Nicobar Islands,260324,5015
23-02-2021,Andaman and Nicobar Islands,261719,5016
24-02-2021,Andaman and Nicobar Islands,263090,5016
25-02-2021,Andaman and Nicobar Islands,264369,5016
26-02-2021,Andaman and Nicobar Islands,265852,5017
27-02-2021,Andaman and Nicobar Islands,267209,5018
28-02-2021,Andaman and Nicobar Islands,268499,5020
01-03-2021,Andaman and Nicobar Islands,269799,5020
02-03-2021,Andaman and Nicobar Islands,271193,5020
03-03-2021,Andaman and Nicobar Islands,273010,5022
04-03-2021,Andaman and Nicobar Islands,274849,5024
05-03-2021,Andaman and Nicobar Islands,276471,5024
06-03-2021,Andaman and Nicobar Islands,278437,5024
07-03-2021,Andaman and Nicobar Islands,280041,5020
08-03-2021,Andaman and Nicobar Islands,281955,5026
09-03-2021,Andaman and Nicobar Islands,283492,5028
10-03-2021,Andaman and Nicobar Islands,285087,5028
11-03-2021,Andaman and Nicobar Islands,286505,5028
12-03-2021,Andaman and Nicobar Islands,288197,5029
13-03-2021,Andaman and Nicobar Islands,290341,5030
14-03-2021,Andaman and Nicobar Islands,291842,5031
15-03-2021,Andaman and Nicobar Islands,294094,5031
16-03-2021,Andaman and Nicobar Islands,295827,5032
17-03-2021,Andaman and Nicobar Islands,297433,5035
18-03-2021,Andaman and Nicobar Islands,299048,5036
19-03-2021,Andaman and Nicobar Islands,300892,5038
20-03-2021,Andaman and Nicobar Islands,302566,5038
21-03-2021,Andaman and Nicobar Islands,304391,5039
22-03-2021,Andaman and Nicobar Islands,305778,5039
23-03-2021,Andaman and Nicobar Islands,307255,5039
24-03-2021,Andaman and Nicobar Islands,308812,5041
25-03-2021,Andaman and Nicobar Islands,310615,5042
26-03-2021,Andaman and Nicobar Islands,312378,5043
27-03-2021,Andaman and Nicobar Islands,314309,5044
28-03-2021,Andaman and Nicobar Islands,315818,5046
29-03-2021,Andaman and Nicobar Islands,317137,5052
30-03-2021,Andaman and Nicobar Islands,318382,5081
31-03-2021,Andaman and Nicobar Islands,319864,5083
01-04-2021,Andaman and Nicobar Islands,321456,5084
02-04-2021,Andaman and Nicobar Islands,323001,5084
03-04-2021,Andaman and Nicobar Islands,324207,5098
04-04-2021,Andaman and Nicobar Islands,325826,5109
05-04-2021,Andaman and Nicobar Islands,327270,5116
06-04-2021,Andaman and Nicobar Islands,328737,5123
07-04-2021,Andaman and Nicobar Islands,330481,5131
08-04-2021,Andaman and Nicobar Islands,332119,5149
09-04-2021,Andaman and Nicobar Islands,333671,5161
10-04-2021,Andaman and Nicobar Islands,335784,5175
11-04-2021,Andaman and Nicobar Islands,337833,5190
12-04-2021,Andaman and Nicobar Islands,339482,5201
13-04-2021,Andaman and Nicobar Islands,341557,5209
14-04-2021,Andaman and Nicobar Islands,343431,5247
15-04-2021,Andaman and Nicobar Islands,345485,5262
16-04-2021,Andaman and Nicobar Islands,347489,5289
17-04-2021,Andaman and Nicobar Islands,349739,5331
18-04-2021,Andaman and Nicobar Islands,352086,5390
19-04-2021,Andaman and Nicobar Islands,353754,5421
20-04-2021,Andaman and Nicobar Islands,355507,5466
21-04-2021,Andaman and Nicobar Islands,357442,5490
22-04-2021,Andaman and Nicobar Islands,358903,5527
23-04-2021,Andaman and Nicobar Islands,360595,5569
24-04-2021,Andaman and Nicobar Islands,361594,5614
25-04-2021,Andaman and Nicobar Islands,363056,5665
26-04-2021,Andaman and Nicobar Islands,364735,5716
27-04-2021,Andaman and Nicobar Islands,366683,5764
28-04-2021,Andaman and Nicobar Islands,367689,5816
29-04-2021,Andaman and Nicobar Islands,368945,5875
30-04-2021,Andaman and Nicobar Islands,370896,5949
01-05-2021,Andaman and Nicobar Islands,372214,6046
02-05-2021,Andaman and Nicobar Islands,373007,6084
03-05-2021,Andaman and Nicobar Islands,373785,6150
04-05-2021,Andaman and Nicobar Islands,374428,6181
05-05-2021,Andaman and Nicobar Islands,375095,6223
06-05-2021,Andaman and Nicobar Islands,375477,6255
07-05-2021,Andaman and Nicobar Islands,375967,6311
08-05-2021,Andaman and Nicobar Islands,376536,6341
09-05-2021,Andaman and Nicobar Islands,376933,6367
10-05-2021,Andaman and Nicobar Islands,377293,6398
11-05-2021,Andaman and Nicobar Islands,377516,6426
12-05-2021,Andaman and Nicobar Islands,378060,6470
13-05-2021,Andaman and Nicobar Islands,378462,6510
14-05-2021,Andaman and Nicobar Islands,378887,6542
15-05-2021,Andaman and Nicobar Islands,379096,6568
16-05-2021,Andaman and Nicobar Islands,379674,6603
17-05-2021,Andaman and Nicobar Islands,380102,6638
18-05-2021,Andaman and Nicobar Islands,380395,6674
19-05-2021,Andaman and Nicobar Islands,380853,6709
20-05-2021,Andaman and Nicobar Islands,381349,6758
21-05-2021,Andaman and Nicobar Islands,382015,6789
22-05-2021,Andaman and Nicobar Islands,382640,6820
23-05-2021,Andaman and Nicobar Islands,383265,6844
24-05-2021,Andaman and Nicobar Islands,383396,6853
25-05-2021,Andaman and Nicobar Islands,383727,6878
26-05-2021,Andaman and Nicobar Islands,384188,6901
27-05-2021,Andaman and Nicobar Islands,384528,6917
28-05-2021,Andaman and Nicobar Islands,385020,6936
29-05-2021,Andaman and Nicobar Islands,385564,6964
30-05-2021,Andaman and Nicobar Islands,385988,6984
31-05-2021,Andaman and Nicobar Islands,386613,7005
01-06-2021,Andaman and Nicobar Islands,387348,7018
02-06-2021,Andaman and Nicobar Islands,387871,7043
03-06-2021,Andaman and Nicobar Islands,388486,7070
04-06-2021,Andaman and Nicobar Islands,389152,7088
05-06-2021,Andaman and Nicobar Islands,389785,7105
06-06-2021,Andaman and Nicobar Islands,390574,7119
07-06-2021,Andaman and Nicobar Islands,391273,7131
08-06-2021,Andaman and Nicobar Islands,392095,7154
09-06-2021,Andaman and Nicobar Islands,392974,7168
10-06-2021,Andaman and Nicobar Islands,393692,7197
11-06-2021,Andaman and Nicobar Islands,394822,7233
12-06-2021,Andaman and Nicobar Islands,395624,7243
13-06-2021,Andaman and Nicobar Islands,396534,7261
14-06-2021,Andaman and Nicobar Islands,397190,7269
15-06-2021,Andaman and Nicobar Islands,397953,7280
16-06-2021,Andaman and Nicobar Islands,398852,7306
17-06-2021,Andaman and Nicobar Islands,399580,7335
18-06-2021,Andaman and Nicobar Islands,400211,7363
19-06-2021,Andaman and Nicobar Islands,400997,7394
20-06-2021,Andaman and Nicobar Islands,401769,7406
21-06-2021,Andaman and Nicobar Islands,402629,7415
22-06-2021,Andaman and Nicobar Islands,403616,7425
23-06-2021,Andaman and Nicobar Islands,404494,7438
24-06-2021,Andaman and Nicobar Islands,405197,7440
25-06-2021,Andaman and Nicobar Islands,405887,7441
26-06-2021,Andaman and Nicobar Islands,406529,7446
27-06-2021,Andaman and Nicobar Islands,407488,7455
28-06-2021,Andaman and Nicobar Islands,408220,7462
29-06-2021,Andaman and Nicobar Islands,409212,7466
30-06-2021,Andaman and Nicobar Islands,409890,7467
01-07-2021,Andaman and Nicobar Islands,410741,7469
02-07-2021,Andaman and Nicobar Islands,411442,7475
03-07-2021,Andaman and Nicobar Islands,412361,7478
04-07-2021,Andaman and Nicobar Islands,413316,7482
05-07-2021,Andaman and Nicobar Islands,414166,7482
02-04-2020,Andhra Pradesh,1800,132
10-04-2020,Andhra Pradesh,6374,365
11-04-2020,Andhra Pradesh,6958,381
12-04-2020,Andhra Pradesh,6958,405
13-04-2020,Andhra Pradesh,8755,432
14-04-2020,Andhra Pradesh,10505,473
15-04-2020,Andhra Pradesh,11613,525
16-04-2020,Andhra Pradesh,20235,534
17-04-2020,Andhra Pradesh,20235,572
18-04-2020,Andhra Pradesh,21450,603
19-04-2020,Andhra Pradesh,26958,647
20-04-2020,Andhra Pradesh,30733,722
21-04-2020,Andhra Pradesh,35755,757
22-04-2020,Andhra Pradesh,41512,813
23-04-2020,Andhra Pradesh,48032,893
24-04-2020,Andhra Pradesh,54338,955
25-04-2020,Andhra Pradesh,61266,1016
26-04-2020,Andhra Pradesh,68034,1097
27-04-2020,Andhra Pradesh,74551,1177
28-04-2020,Andhra Pradesh,80334,1259
29-04-2020,Andhra Pradesh,88061,1332
30-04-2020,Andhra Pradesh,94558,1403
01-05-2020,Andhra Pradesh,102460,1463
02-05-2020,Andhra Pradesh,108403,1525
03-05-2020,Andhra Pradesh,114937,1583
04-05-2020,Andhra Pradesh,125229,1650
05-05-2020,Andhra Pradesh,133492,1717
06-05-2020,Andhra Pradesh,141274,1777
07-05-2020,Andhra Pradesh,149361,1833
08-05-2020,Andhra Pradesh,156681,1887
09-05-2020,Andhra Pradesh,165069,1930
10-05-2020,Andhra Pradesh,173735,1980
11-05-2020,Andhra Pradesh,181144,2018
12-05-2020,Andhra Pradesh,191874,2051
13-05-2020,Andhra Pradesh,201196,2137
14-05-2020,Andhra Pradesh,210452,2100
15-05-2020,Andhra Pradesh,219490,2157
17-05-2020,Andhra Pradesh,238998,2230
18-05-2020,Andhra Pradesh,248771,2282
19-05-2020,Andhra Pradesh,258450,2339
20-05-2020,Andhra Pradesh,267612,2407
21-05-2020,Andhra Pradesh,275704,2452
22-05-2020,Andhra Pradesh,284119,2514
23-05-2020,Andhra Pradesh,292969,2561
24-05-2020,Andhra Pradesh,304326,2627
25-05-2020,Andhra Pradesh,314566,2671
26-05-2020,Andhra Pradesh,322714,2719
27-05-2020,Andhra Pradesh,332378,2787
28-05-2020,Andhra Pradesh,342236,2841
29-05-2020,Andhra Pradesh,353874,2874
30-05-2020,Andhra Pradesh,363378,2944
31-05-2020,Andhra Pradesh,372748,3045
01-06-2020,Andhra Pradesh,383315,3118
02-06-2020,Andhra Pradesh,395681,3200
03-06-2020,Andhra Pradesh,403747,3279
04-06-2020,Andhra Pradesh,413733,3377
05-06-2020,Andhra Pradesh,423564,3427
06-06-2020,Andhra Pradesh,436335,3588
07-06-2020,Andhra Pradesh,454030,3718
08-06-2020,Andhra Pradesh,468276,3843
09-06-2020,Andhra Pradesh,483361,3990
10-06-2020,Andhra Pradesh,498716,4126
11-06-2020,Andhra Pradesh,510318,4261
12-06-2020,Andhra Pradesh,522093,4402
13-06-2020,Andhra Pradesh,536570,4588
14-06-2020,Andhra Pradesh,552202,4841
15-06-2020,Andhra Pradesh,567375,5087
16-06-2020,Andhra Pradesh,583286,5280
17-06-2020,Andhra Pradesh,598474,5555
18-06-2020,Andhra Pradesh,612397,5854
19-06-2020,Andhra Pradesh,630006,7961
20-06-2020,Andhra Pradesh,652377,8452
21-06-2020,Andhra Pradesh,676828,8929
22-06-2020,Andhra Pradesh,693548,9372
23-06-2020,Andhra Pradesh,714187,9834
24-06-2020,Andhra Pradesh,750234,10331
25-06-2020,Andhra Pradesh,769319,10884
26-06-2020,Andhra Pradesh,791624,11489
27-06-2020,Andhra Pradesh,816082,12285
28-06-2020,Andhra Pradesh,841860,13098
29-06-2020,Andhra Pradesh,872076,13891
30-06-2020,Andhra Pradesh,890190,14595
01-07-2020,Andhra Pradesh,918429,15252
02-07-2020,Andhra Pradesh,932713,16097
03-07-2020,Andhra Pradesh,971611,16934
04-07-2020,Andhra Pradesh,996573,17699
05-07-2020,Andhra Pradesh,1017140,18697
06-07-2020,Andhra Pradesh,1033852,20019
07-07-2020,Andhra Pradesh,1050090,21197
08-07-2020,Andhra Pradesh,1077733,22259
09-07-2020,Andhra Pradesh,1094615,23814
10-07-2020,Andhra Pradesh,1115635,25422
11-07-2020,Andhra Pradesh,1136225,27235
12-07-2020,Andhra Pradesh,1153849,29168
13-07-2020,Andhra Pradesh,1173096,31103
14-07-2020,Andhra Pradesh,1195766,33019
15-07-2020,Andhra Pradesh,1217963,35451
16-07-2020,Andhra Pradesh,1240267,38044
17-07-2020,Andhra Pradesh,1260512,40646
18-07-2020,Andhra Pradesh,1284384,44609
19-07-2020,Andhra Pradesh,1315532,49650
20-07-2020,Andhra Pradesh,1349112,53724
21-07-2020,Andhra Pradesh,1386274,58668
22-07-2020,Andhra Pradesh,1435827,64713
23-07-2020,Andhra Pradesh,1493879,72711
24-07-2020,Andhra Pradesh,1541993,80858
25-07-2020,Andhra Pradesh,1595674,88671
26-07-2020,Andhra Pradesh,1643319,96298
27-07-2020,Andhra Pradesh,1686446,102349
28-07-2020,Andhra Pradesh,1749425,110297
29-07-2020,Andhra Pradesh,1820009,120390
30-07-2020,Andhra Pradesh,1890077,130557
31-07-2020,Andhra Pradesh,1951776,140933
01-08-2020,Andhra Pradesh,2012573,150209
02-08-2020,Andhra Pradesh,2065407,158764
03-08-2020,Andhra Pradesh,2110923,166586
04-08-2020,Andhra Pradesh,2175070,176333
05-08-2020,Andhra Pradesh,2235646,186461
06-08-2020,Andhra Pradesh,2299332,196789
